virus	strain	age_of_infection
H3	A/BRISBANE/119/2004	57
H3	A/BRISBANE/17/2004	57
H3	A/BRISBANE/17/2008	57
H3	A/BRISBANE/18/2007	57
H3	A/BRISBANE/274/2006	57
H3	A/BRISBANE/29/2008	57
H3	A/BRISBANE/302/2003	57
H3	A/BRISBANE/35/2003	57
H3	A/BRISBANE/40/2007	57
H3	A/BRISBANE/7/2008	57
H3	A/PERTH/270/2008	57
H3	A/SOUTHAUSTRALIA/1/2005	57
H3	A/SOUTHAUSTRALIA/101/2002	57
H3	A/SOUTHAUSTRALIA/13/2002	57
H3	A/SOUTHAUSTRALIA/3/2004	57
H3	A/SOUTHAUSTRALIA/83/2002	57
H3	A/VICTORIA/346/2007	57
H3	A/VICTORIA/521/2006	57
H3	A/BRISBANE/113/2006	58
H3	A/BRISBANE/213/2002	58
H3	A/BRISBANE/272/2010	58
H3	A/BRISBANE/50/2008	58
H3	A/BRISBANE/66/2009	58
H3	A/BRISBANE/87/2008	58
H3	A/BRISBANE/96/2005	58
H3	A/DARWIN/10/2003	58
H3	A/DARWIN/31/2011	58
H3	A/DARWIN/72/2011	58
H3	A/PERTH/29/2008	58
H3	A/SOUTHAUSTRALIA/112/2002	58
H3	A/SOUTHAUSTRALIA/140/2002	58
H3	A/SOUTHAUSTRALIA/235/2007	58
H3	A/SOUTHAUSTRALIA/364/2007	58
H3	A/SOUTHAUSTRALIA/44/2008	58
H3	A/SYDNEY/12/2009	58
H3	A/SYDNEY/23/2009	58
H3	A/TASMANIA/5/2008	58
H3	A/TOWNSVILLE/132/2010	58
H3	A/VICTORIA/119/2000	58
H3	A/VICTORIA/126/2004	58
H3	A/VICTORIA/136/2002	58
H3	A/VICTORIA/250/2003	58
H3	A/VICTORIA/287/2003	58
H3	A/VICTORIA/321/2006	58
H3	A/VICTORIA/532/2006	58
H3	A/BRISBANE/130/2006	59
H3	A/BRISBANE/192/2005	59
H3	A/BRISBANE/23/2000	59
H3	A/BRISBANE/306/2003	59
H3	A/BRISBANE/311/2007	59
H3	A/BRISBANE/76/2003	59
H3	A/BRISBANE/9/2006	59
H3	A/PERTH/38/2010	59
H3	A/SOUTHAUSTRALIA/470/2007	59
H3	A/SYDNEY/201/2002	59
H3	A/SYDNEY/201/2002	59
H3	A/VICTORIA/116/2000	59
H3	A/VICTORIA/191/2003	59
H3	A/VICTORIA/244/2003	59
H3	A/VICTORIA/371/2007	59
H3	A/VICTORIA/556/2000	59
H3	A/VICTORIA/8/2010	59
H3	A/BRISBANE/118/2004	60
H3	A/BRISBANE/136/2003	60
H3	A/BRISBANE/163/2007	60
H3	A/BRISBANE/28/2004	60
H3	A/BRISBANE/310/2010	60
H3	A/BRISBANE/335/2007	60
H3	A/BRISBANE/338/2007	60
H3	A/BRISBANE/56/2000	60
H3	A/SOUTHAUSTRALIA/17/2007	60
H3	A/SOUTHAUSTRALIA/271/2007	60
H3	A/SOUTHAUSTRALIA/474/2007	60
H3	A/SOUTHAUSTRALIA/93/2002	60
H3	A/SYDNEY/11/2009	60
H3	A/SYDNEY/39/2004	60
H3	A/VICTORIA/144/2002	60
H3	A/VICTORIA/157/2003	60
H3	A/VICTORIA/176/2005	60
H3	A/VICTORIA/222/2002	60
H3	A/VICTORIA/232/2008	60
H3	A/VICTORIA/248/2007	60
H3	A/VICTORIA/263/2005	60
H3	A/VICTORIA/513/2002	60
H3	A/VICTORIA/513/2004	60
H3	A/BRISBANE/13/2006	61
H3	A/BRISBANE/205/2005	61
H3	A/BRISBANE/211/2005	61
H3	A/BRISBANE/325/2002	61
H3	A/BRISBANE/37/2005	61
H3	A/BRISBANE/64/2005	61
H3	A/BRISBANE/78/2006	61
H3	A/BRISBANE/88/2007	61
H3	A/DARWIN/3/2002	61
H3	A/PERTH/27/2010	61
H3	A/SOUTHAUSTRALIA/11/2002	61
H3	A/SOUTHAUSTRALIA/217/2007	61
H3	A/SOUTHAUSTRALIA/217/2007	61
H3	A/SOUTHAUSTRALIA/23/2002	61
H3	A/SOUTHAUSTRALIA/253/2007	61
H3	A/SOUTHAUSTRALIA/75/2001	61
H3	A/SOUTHAUSTRALIA/75/2001	61
H3	A/SYDNEY/17/2000	61
H3	A/VICTORIA/539/2005	61
H3	A/VICTORIA/154/2006	61.2
H3	A/BRISBANE/113/2002	62
H3	A/BRISBANE/121/2006	62
H3	A/BRISBANE/195/2005	62
H3	A/BRISBANE/36/2008	62
H3	A/BRISBANE/57/2006	62
H3	A/BRISBANE/63/2009	62
H3	A/BRISBANE/72/2005	62
H3	A/BRISBANE/95/2006	62
H3	A/DARWIN/5/2002	62
H3	A/DARWIN/71/2011	62
H3	A/PERTH/342/2010	62
H3	A/SOUTHAUSTRALIA/33/2002	62
H3	A/SOUTHAUSTRALIA/36/2002	62
H3	A/SOUTHAUSTRALIA/37/2002	62
H3	A/SOUTHAUSTRALIA/392/2007	62
H3	A/SOUTHAUSTRALIA/393/2007	62
H3	A/SOUTHAUSTRALIA/85/2005	62
H3	A/SOUTHAUSTRALIA/91/2002	62
H3	A/SYDNEY/52/2008	62
H3	A/SYDNEY/67/2003	62
H3	A/TOWNSVILLE/2/2000	62
H3	A/TOWNSVILLE/32/2011	62
H3	A/TOWNSVILLE/34/2011	62
H3	A/VICTORIA/365/2007	62
H3	A/VICTORIA/500/2008	62
H3	A/VICTORIA/535/2007	62
H3	A/VICTORIA/564/2003	62
H3	A/BRISBANE/112/2006	63
H3	A/BRISBANE/254/2006	63
H3	A/BRISBANE/51/2004	63
H3	A/BRISBANE/52/2004	63
H3	A/BRISBANE/55/2008	63
H3	A/BRISBANE/89/2004	63
H3	A/DARWIN/10/2005	63
H3	A/DARWIN/6/2005	63
H3	A/SOUTHAUSTRALIA/14/2003	63
H3	A/SOUTHAUSTRALIA/17/2003	63
H3	A/SOUTHAUSTRALIA/255/2007	63
H3	A/SOUTHAUSTRALIA/256/2007	63
H3	A/SOUTHAUSTRALIA/61/2005	63
H3	A/SYDNEY/226/2000	63
H3	A/SYDNEY/226/2000	63
H3	A/TOWNSVILLE/18/2001	63
H3	A/TOWNSVILLE/25/2003	63
H3	A/VICTORIA/171/2006	63
H3	A/VICTORIA/278/2003	63
H3	A/VICTORIA/648/2010	63
H3	A/BRISBANE/202/2003	64
H3	A/BRISBANE/232/2005	64
H3	A/BRISBANE/25/2007	64
H3	A/BRISBANE/80/2005	64
H3	A/BRISBANE/84/2008	64
H3	A/BRISBANE/92/2003	64
H3	A/SOUTHAUSTRALIA/7/2002	64
H3	A/SOUTHAUSTRALIA/95/2002	64
H3	A/SYDNEY/244/2000	64
H3	A/SYDNEY/259/2002	64
H3	A/SYDNEY/260/2002	64
H3	A/TASMANIA/202/2008	64
H3	A/TOWNSVILLE/34/2003	64
H3	A/TOWNSVILLE/44/2003	64
H3	A/TOWNSVILLE/57/2011	64
H3	A/VICTORIA/115/2000	64
H3	A/VICTORIA/117/2000	64
H3	A/VICTORIA/220/2003	64
H3	A/VICTORIA/852/2007	64
H3	A/VICTORIA/853/2007	64
H3	A/BRISBANE/162/2003	65
H3	A/BRISBANE/169/2006	65
H3	A/BRISBANE/254/2005	65
H3	A/BRISBANE/284/2003	65
H3	A/BRISBANE/52/2006	65
H3	A/BRISBANE/57/2008	65
H3	A/BRISBANE/75/2003	65
H3	A/DARWIN/96/2011	65
H3	A/SOUTHAUSTRALIA/11/2007	65
H3	A/SOUTHAUSTRALIA/12/2007	65
H3	A/SOUTHAUSTRALIA/14/2002	65
H3	A/SOUTHAUSTRALIA/66/2002	65
H3	A/SOUTHAUSTRALIA/9/2007	65
H3	A/SYDNEY/265/2002	65
H3	A/TASMANIA/2/2011	65
H3	A/TOWNSVILLE/77/2011	65
H3	A/VICTORIA/207/2005	65
H3	A/VICTORIA/227/2005	65
H3	A/VICTORIA/280/2007	65
H3	A/VICTORIA/512/2004	65
H3	A/VICTORIA/558/2000	65
H3	A/BRISBANE/100/2005	66
H3	A/BRISBANE/30/2000	66
H3	A/BRISBANE/39/2011	66
H3	A/BRISBANE/62/2005	66
H3	A/BRISBANE/72/2003	66
H3	A/DARWIN/4/2004	66
H3	A/PERTH/59/2009	66
H3	A/SOUTHAUSTRALIA/41/2002	66
H3	A/SYDNEY/258/2002	66
H3	A/TOWNSVILLE/130/2005	66
H3	A/TOWNSVILLE/131/2005	66
H3	A/TOWNSVILLE/16/2003	66
H3	A/TOWNSVILLE/6/2008	66
H3	A/BRISBANE/130/2004	67
H3	A/BRISBANE/202/2002	67
H3	A/BRISBANE/243/2006	67
H3	A/BRISBANE/244/2005	67
H3	A/BRISBANE/297/2010	67
H3	A/BRISBANE/33/2002	67
H3	A/BRISBANE/78/2011	67
H3	A/DARWIN/93/2011	67
H3	A/PERTH/249/2008	67
H3	A/SOUTHAUSTRALIA/142/2002	67
H3	A/SOUTHAUSTRALIA/147/2002	67
H3	A/SOUTHAUSTRALIA/33/2003	67
H3	A/SOUTHAUSTRALIA/39/2001	67
H3	A/SYDNEY/264/2002	67
H3	A/SYDNEY/56/2008	67
H3	A/SYDNEY/72/2003	67
H3	A/TOWNSVILLE/133/2010	67
H3	A/TRANG/3332/2004	67
H3	A/VICTORIA/225/2009	67
H3	A/VICTORIA/230/2002	67
H3	A/VICTORIA/253/2002	67
H3	A/VICTORIA/557/2007	67
H3	A/VICTORIA/170/2006	67.6
H3	A/BRISBANE/285/2003	68
H3	A/BRISBANE/35/2000	68
H3	A/BRISBANE/38/2000	68
H3	A/BRISBANE/40/2005	68
H3	A/BRISBANE/601/2007	68
H3	A/BRISBANE/92/2004	68
H3	A/SOUTHAUSTRALIA/148/2005	68
H3	A/SOUTHAUSTRALIA/39/2005	68
H3	A/SYDNEY/207/2003	68
H3	A/SYDNEY/40/2009	68
H3	A/TASMANIA/203/2008	68
H3	A/TOWNSVILLE/33/2003	68
H3	A/TOWNSVILLE/60/2010	68
H3	A/TOWNSVILLE/68/2011	68
H3	A/VICTORIA/126/2000	68
H3	A/VICTORIA/179/2002	68
H3	A/BRISBANE/134/2010	69
H3	A/BRISBANE/148/2007	69
H3	A/BRISBANE/149/2007	69
H3	A/BRISBANE/165/2003	69
H3	A/BRISBANE/266/2010	69
H3	A/BRISBANE/275/2002	69
H3	A/BRISBANE/33/2006	69
H3	A/PERTH/13/2009	69
H3	A/PERTH/13/2009	69
H3	A/SOUTHAUSTRALIA/19/2008	69
H3	A/SOUTHAUSTRALIA/64/2003	69
H3	A/SOUTHAUSTRALIA/8/2002	69
H3	A/SOUTHAUSTRALIA/9/2002	69
H3	A/TOWNSVILLE/30/2011	69
H3	A/TOWNSVILLE/5/2000	69
H3	A/VICTORIA/201/2003	69
H3	A/VICTORIA/228/2005	69
H3	A/VICTORIA/4/2010	69
H3	A/VICTORIA/548/2007	69
H3	A/VICTORIA/562/2000	69
H3	A/VICTORIA/153/2006	69.2
H3	A/BRISBANE/181/2005	70
H3	A/BRISBANE/214/2003	70
H3	A/BRISBANE/339/2007	70
H3	A/BRISBANE/34/2011	70
H3	A/BRISBANE/50/2000	70
H3	A/BRISBANE/75/2005	70
H3	A/BRISBANE/82/2004	70
H3	A/BRISBANE/84/2003	70
H3	A/SOUTHAUSTRALIA/41/2005	70
H3	A/VICTORIA/181/2002	70
H3	A/VICTORIA/191/2005	70
H3	A/VICTORIA/192/2002	70
H3	A/VICTORIA/359/2002	70
H3	A/BRISBANE/127/2006	71
H3	A/BRISBANE/175/2003	71
H3	A/BRISBANE/35/2005	71
H3	A/SOUTHAUSTRALIA/11/2001	71
H3	A/SOUTHAUSTRALIA/151/2002	71
H3	A/SOUTHAUSTRALIA/247/2007	71
H3	A/SOUTHAUSTRALIA/42/2002	71
H3	A/SYDNEY/13/2000	71
H3	A/SYDNEY/22/2009	71
H3	A/TOWNSVILLE/46/2011	71
H3	A/TOWNSVILLE/97/2010	71
H3	A/BRISBANE/102/2007	72
H3	A/BRISBANE/122/2005	72
H3	A/BRISBANE/136/2006	72
H3	A/BRISBANE/26/2005	72
H3	A/PERTH/10/2010	72
H3	A/PERTH/10/2010	72
H3	A/SOUTHAUSTRALIA/49/2007	72
H3	A/SYDNEY/66/2007	72
H3	A/TOWNSVILLE/87/2010	72
H3	A/TOWNSVILLE/87/2010	72
H3	A/VICTORIA/103/2000	72
H3	A/VICTORIA/123/2005	72
H3	A/VICTORIA/222/2009	72
H3	A/VICTORIA/233/2003	72
H3	A/VICTORIA/241/2005	72
H3	A/VICTORIA/518/2007	72
H3	A/VICTORIA/518/2007	72
H3	A/BRISBANE/104/2006	73
H3	A/BRISBANE/15/2000	73
H3	A/BRISBANE/19/2008	73
H3	A/BRISBANE/56/2008	73
H3	A/BRISBANE/80/2004	73
H3	A/BRISBANE/93/2005	73
H3	A/DARWIN/24/2011	73
H3	A/DARWIN/3/2011	73
H3	A/DARWIN/6/2008	73
H3	A/DARWIN/65/2011	73
H3	A/DARWIN/94/2011	73
H3	A/PERTH/32/2009	73
H3	A/SOUTHAUSTRALIA/109/2003	73
H3	A/SOUTHAUSTRALIA/252/2007	73
H3	A/TOWNSVILLE/20/2005	73
H3	A/VICTORIA/126/2005	73
H3	A/VICTORIA/164/2002	73
H3	A/VICTORIA/194/2002	73
H3	A/VICTORIA/196/2002	73
H3	A/VICTORIA/234/2002	73
H3	A/BRISBANE/165/2001	74
H3	A/SOUTHAUSTRALIA/153/2002	74
H3	A/SOUTHAUSTRALIA/282/2007	74
H3	A/SOUTHAUSTRALIA/31/2002	74
H3	A/SYDNEY/38/2007	74
H3	A/TASMANIA/3/2010	74
H3	A/VICTORIA/503/2007	74
H3	A/VICTORIA/516/2007	74
H3	A/BRISBANE/31/2007	75
H3	A/BRISBANE/59/2011	75
H3	A/BRISBANE/70/2003	75
H3	A/BRISBANE/82/2007	75
H3	A/SOUTHAUSTRALIA/152/2002	75
H3	A/SOUTHAUSTRALIA/20/2002	75
H3	A/SOUTHAUSTRALIA/204/2007	75
H3	A/SOUTHAUSTRALIA/33/2005	75
H3	A/SYDNEY/267/2007	75
H3	A/TOWNSVILLE/35/2003	75
H3	A/VICTORIA/501/2006	75
H3	A/VICTORIA/555/2005	75
H3	A/VICTORIA/569/2007	75
H3	A/VICTORIA/569/2007	75
H3	A/BRISBANE/96/2011	76
H3	A/PERTH/93/2009	76
H3	A/SOUTHAUSTRALIA/45/2002	76
H3	A/SOUTHAUSTRALIA/80/2005	76
H3	A/VICTORIA/184/2003	76
H3	A/VICTORIA/186/2002	76
H3	A/VICTORIA/226/2003	76
H3	A/VICTORIA/271/2003	76
H3	A/VICTORIA/569/2000	76
H3	A/BRISBANE/229/2006	77
H3	A/BRISBANE/603/2007	77
H3	A/DARWIN/92/2011	77
H3	A/SYDNEY/1200/2004	77
H3	A/SYDNEY/269/2002	77
H3	A/SYDNEY/55/2008	77
H3	A/TOWNSVILLE/43/2011	77
H3	A/VICTORIA/155/2002	77
H3	A/VICTORIA/392/2002	77
H3	A/VICTORIA/514/2000	77
H3	A/VICTORIA/542/2002	77
H3	A/VICTORIA/862/2007	77
H3	A/BRISBANE/174/2006	78
H3	A/BRISBANE/272/2007	78
H3	A/BRISBANE/318/2002	78
H3	A/BRISBANE/53/2009	78
H3	A/BRISBANE/57/2009	78
H3	A/BRISBANE/68/2004	78
H3	A/SOUTHAUSTRALIA/18/2002	78
H3	A/SOUTHAUSTRALIA/21/2002	78
H3	A/SOUTHAUSTRALIA/26/2008	78
H3	A/SYDNEY/21/2009	78
H3	A/VICTORIA/250/2005	78
H3	A/BRISBANE/29/2000	79
H3	A/BRISBANE/4/2005	79
H3	A/BRISBANE/55/2005	79
H3	A/BRISBANE/604/2007	79
H3	A/BRISBANE/86/2008	79
H3	A/PERTH/219/2008	79
H3	A/SOUTHAUSTRALIA/22/2002	79
H3	A/SOUTHAUSTRALIA/28/2002	79
H3	A/SOUTHAUSTRALIA/29/2002	79
H3	A/SOUTHAUSTRALIA/30/2008	79
H3	A/VICTORIA/509/2007	79
H3	A/BRISBANE/37/2008	80
H3	A/BRISBANE/84/2004	80
H3	A/PERTH/107/2009	80
H3	A/SOUTHAUSTRALIA/17/2002	80
H3	A/SOUTHAUSTRALIA/25/2002	80
H3	A/SYDNEY/247/2000	80
H3	A/VICTORIA/166/2005	80
H3	A/VICTORIA/515/2000	80
H3	A/VICTORIA/556/2007	80
H3	A/VICTORIA/556/2007	80
H3	A/VICTORIA/561/2000	80
H3	A/VICTORIA/573/2007	80
H3	A/BRISBANE/73/2003	81
H3	A/BRISBANE/85/2003	81
H3	A/DARWIN/42/2011	81
H3	A/PERTH/227/2009	81
H3	A/SOUTHAUSTRALIA/19/2002	81
H3	A/SOUTHAUSTRALIA/41/2007	81
H3	A/SOUTHAUSTRALIA/71/2001	81
H3	A/TOWNSVILLE/65/2011	81
H3	A/VICTORIA/151/2002	81
H3	A/VICTORIA/175/2005	81
H3	A/BRISBANE/207/2003	82
H3	A/SOUTHAUSTRALIA/27/2002	82
H3	A/SOUTHAUSTRALIA/424/2007	82
H3	A/SYDNEY/226/2007	82
H3	A/SYDNEY/46/2008	82
H3	A/TOWNSVILLE/3/2011	82
H3	A/VICTORIA/202/2002	82
H3	A/VICTORIA/223/2009	82
H3	A/VICTORIA/572/2007	82
H3	A/SOUTHAUSTRALIA/215/2007	83
H3	A/SOUTHAUSTRALIA/39/2002	83
H3	A/SOUTHAUSTRALIA/52/2007	83
H3	A/SOUTHAUSTRALIA/74/2008	83
H3	A/SYDNEY/201/2004	83
H3	A/SYDNEY/9/2003	83
H3	A/TOWNSVILLE/79/2011	83
H3	A/VICTORIA/103/2002	83
H3	A/VICTORIA/226/2009	83
H3	A/VICTORIA/506/2011	83
H3	A/VICTORIA/542/2006	83
H3	A/BRISBANE/150/2004	84
H3	A/BRISBANE/27/2005	84
H3	A/BRISBANE/277/2006	84
H3	A/BRISBANE/66/2004	84
H3	A/BRISBANE/98/2005	84
H3	A/SOUTHAUSTRALIA/102/2005	84
H3	A/SOUTHAUSTRALIA/103/2005	84
H3	A/SOUTHAUSTRALIA/146/2002	84
H3	A/SOUTHAUSTRALIA/4/2005	84
H3	A/SOUTHAUSTRALIA/452/2007	84
H3	A/SOUTHAUSTRALIA/67/2008	84
H3	A/TOWNSVILLE/8/2008	84
H3	A/TOWNSVILLE/92/2010	84
H3	A/VICTORIA/227/2009	84
H3	A/VICTORIA/228/2009	84
H3	A/BRISBANE/146/2002	85
H3	A/SOUTHAUSTRALIA/245/2007	85
H3	A/SOUTHAUSTRALIA/390/2007	85
H3	A/SOUTHAUSTRALIA/391/2007	85
H3	A/SOUTHAUSTRALIA/406/2007	85
H3	A/SYDNEY/228/2007	85
H3	A/SYDNEY/3/2008	85
H3	A/SYDNEY/39/2005	85
H3	A/TOWNSVILLE/37/2011	85
H3	A/VICTORIA/113/2000	85
H3	A/VICTORIA/209/2005	85
H3	A/VICTORIA/229/2009	85
H3	A/SOUTHAUSTRALIA/41/2008	86
H3	A/SYDNEY/200/2002	86
H3	A/SYDNEY/45/2008	86
H3	A/SYDNEY/46/2006	86
H3	A/VICTORIA/116/2002	86
H3	A/VICTORIA/246/2002	86
H3	A/VICTORIA/574/2005	86
H3	A/VICTORIA/650/2010	86
H3	A/BRISBANE/6/2006	87
H3	A/PERTH/173/2008	87
H3	A/SYDNEY/57/2007	87
H3	A/VICTORIA/102/2002	87
H3	A/BRISBANE/275/2007	88
H3	A/BRISBANE/29/2003	88
H3	A/BRISBANE/602/2007	88
H3	A/BRISBANE/97/2006	88
H3	A/SOUTHAUSTRALIA/239/2007	88
H3	A/SOUTHAUSTRALIA/51/2007	88
H3	A/SYDNEY/205/2004	88
H3	A/VICTORIA/419/2002	88
H3	A/BRISBANE/68/2000	89
H3	A/VICTORIA/236/2005	89
H3	A/BRISBANE/37/2005	90
H3	A/BRISBANE/99/2005	90
H3	A/SOUTHAUSTRALIA/70/2008	91
H3	A/SOUTHAUSTRALIA/26/2002	92
H3	A/VICTORIA/511/2011	92
H3	A/SOUTHAUSTRALIA/135/2005	93
H3	A/SOUTHAUSTRALIA/466/2007	93
H3	A/SYDNEY/38/2004	93
H3	A/VICTORIA/510/2007	93
H3	A/SOUTHAUSTRALIA/24/2002	94
H3	A/VICTORIA/821/2007	94
H3	A/BRISBANE/605/2007	95
H3	A/VICTORIA/224/2009	95
H3	A/SYDNEY/40/2008	98
H3	A/VICTORIA/105/2002	98
H1	A/BRISBANE/10/2009	0
H1	A/BRISBANE/11/2009	0
H1	A/BRISBANE/257/2007	0
H1	A/BRISBANE/58/2009	0
H1	A/VICTORIA/291/2007	0
H1	A/VICTORIA/334/2007	0
H1	A/BRISBANE/110/2007	0.01
H1	A/BRISBANE/111/2007	0.02
H1	A/SOUTHAUSTRALIA/60/2008	0.02
H1	A/BRISBANE/217/2007	0.03
H1	A/BRISBANE/93/2007	0.03
H1	A/SOUTHAUSTRALIA/53/2008	0.03
H1	A/SYDNEY/560/2007	0.03
H1	A/SYDNEY/545/2007	0.04
H1	A/SYDNEY/550/2007	0.04
H1	A/SYDNEY/555/2007	0.04
H1	A/BRISBANE/221/2007	0.05
H1	A/BRISBANE/78/2007	0.05
H1	A/BRISBANE/90/2007	0.05
H1	A/SOUTHAUSTRALIA/48/2008	0.05
H1	A/SOUTHAUSTRALIA/54/2008	0.05
H1	A/SYDNEY/34/2007	0.05
H1	A/SYDNEY/533/2007	0.05
H1	A/BRISBANE/191/2007	0.06
H1	A/BRISBANE/94/2007	0.06
H1	A/PERTH/207/2008	0.06
H1	A/SOUTHAUSTRALIA/324/2007	0.06
H1	A/SOUTHAUSTRALIA/349/2007	0.06
H1	A/SOUTHAUSTRALIA/45/2008	0.06
H1	A/SYDNEY/122/2007	0.06
H1	A/SYDNEY/123/2007	0.06
H1	A/BRISBANE/137/2007	0.07
H1	A/BRISBANE/153/2007	0.07
H1	A/BRISBANE/156/2007	0.07
H1	A/PERTH/26/2008	0.07
H1	A/SOUTHAUSTRALIA/336/2007	0.07
H1	A/SYDNEY/543/2007	0.07
H1	A/BRISBANE/101/2007	0.08
H1	A/BRISBANE/157/2007	0.08
H1	A/BRISBANE/155/2007	0.09
H1	A/BRISBANE/185/2007	0.09
H1	A/BRISBANE/223/2007	0.09
H1	A/BRISBANE/4/2008	0.09
H1	A/SOUTHAUSTRALIA/386/2007	0.09
H1	A/SYDNEY/104/2007	0.09
H1	A/BRISBANE/108/2006	0.1
H1	A/BRISBANE/124/2001	0.1
H1	A/BRISBANE/132/2001	0.1
H1	A/BRISBANE/140/2001	0.1
H1	A/BRISBANE/155/2001	0.1
H1	A/BRISBANE/24/2001	0.1
H1	A/BRISBANE/255/2005	0.1
H1	A/BRISBANE/255/2007	0.1
H1	A/BRISBANE/32/2001	0.1
H1	A/BRISBANE/5/2007	0.1
H1	A/BRISBANE/50/2001	0.1
H1	A/PERTH/222/2000	0.1
H1	A/PERTH/228/2000	0.1
H1	A/SOUTHAUSTRALIA/126/2005	0.1
H1	A/SOUTHAUSTRALIA/13/2001	0.1
H1	A/SOUTHAUSTRALIA/37/2001	0.1
H1	A/SOUTHAUSTRALIA/93/2001	0.1
H1	A/SYDNEY/518/2007	0.1
H1	A/VICTORIA/314/2001	0.1
H1	A/VICTORIA/314/2005	0.1
H1	A/VICTORIA/315/2001	0.1
H1	A/VICTORIA/542/2005	0.1
H1	A/VICTORIA/562/2005	0.1
H1	A/VICTORIA/809/2007	0.1
H1	A/BRISBANE/123/2001	0.11
H1	A/BRISBANE/138/2001	0.11
H1	A/BRISBANE/340/2007	0.11
H1	A/BRISBANE/95/2001	0.11
H1	A/SYDNEY/33/2007	0.11
H1	A/SOUTHAUSTRALIA/62/2008	0.16
H1	A/PERTH/216/2000	0.17
H1	A/BRISBANE/115/2001	0.2
H1	A/BRISBANE/50/2007	0.2
H1	A/BRISBANE/59/2001	0.2
H1	A/PERTH/267/2000	0.2
H1	A/SOUTHAUSTRALIA/152/2005	0.2
H1	A/SOUTHAUSTRALIA/31/2001	0.2
H1	A/VICTORIA/543/2001	0.2
H1	A/VICTORIA/568/2005	0.2
H1	A/BRISBANE/148/2001	0.25
H1	A/BRISBANE/23/2001	0.25
H1	A/BRISBANE/36/2001	0.25
H1	A/SOUTHAUSTRALIA/103/2001	0.25
H1	A/SYDNEY/50/2008	0.25
H1	A/TOWNSVILLE/13/2001	0.25
H1	A/TOWNSVILLE/16/2001	0.25
H1	A/VICTORIA/163/2001	0.25
H1	A/VICTORIA/316/2005	0.25
H1	A/VICTORIA/541/2007	0.25
H1	A/VICTORIA/546/2001	0.25
H1	A/PERTH/229/2000	0.27
H1	A/BRISBANE/127/2001	0.3
H1	A/BRISBANE/15/2001	0.3
H1	A/BRISBANE/156/2001	0.3
H1	A/BRISBANE/290/2007	0.3
H1	A/BRISBANE/293/2007	0.3
H1	A/SOUTHAUSTRALIA/63/2001	0.3
H1	A/SOUTHAUSTRALIA/87/2001	0.3
H1	A/SOUTHAUSTRALIA/91/2001	0.3
H1	A/VICTORIA/531/2001	0.3
H1	A/VICTORIA/554/2007	0.3
H1	A/VICTORIA/554/2007	0.3
H1	A/BRISBANE/26/2000	0.33
H1	A/BRISBANE/103/2001	0.4
H1	A/BRISBANE/143/2001	0.4
H1	A/BRISBANE/52/2001	0.4
H1	A/PERTH/215/2000	0.4
H1	A/PERTH/230/2005	0.4
H1	A/SOUTHAUSTRALIA/19/2001	0.4
H1	A/SOUTHAUSTRALIA/20/2009	0.4
H1	A/VICTORIA/308/2001	0.4
H1	A/VICTORIA/348/2005	0.4
H1	A/BRISBANE/154/2001	0.5
H1	A/BRISBANE/164/2001	0.5
H1	A/BRISBANE/241/2007	0.5
H1	A/BRISBANE/4/2006	0.5
H1	A/PERTH/253/2001	0.5
H1	A/PERTH/5/2009	0.5
H1	A/SOUTHAUSTRALIA/137/2005	0.5
H1	A/SOUTHAUSTRALIA/30/2001	0.5
H1	A/SOUTHAUSTRALIA/35/2001	0.5
H1	A/SYDNEY/220/2007	0.5
H1	A/SYDNEY/48/2006	0.5
H1	A/VICTORIA/317/2001	0.5
H1	A/VICTORIA/322/2005	0.5
H1	A/VICTORIA/331/2005	0.5
H1	A/VICTORIA/522/2007	0.5
H1	A/VICTORIA/530/2001	0.5
H1	A/VICTORIA/869/2007	0.5
H1	A/BRISBANE/144/2001	0.6
H1	A/BRISBANE/38/2006	0.6
H1	A/VICTORIA/337/2005	0.6
H1	A/VICTORIA/518/2005	0.6
H1	A/VICTORIA/527/2001	0.6
H1	A/VICTORIA/541/2001	0.6
H1	A/BRISBANE/117/2001	0.7
H1	A/BRISBANE/160/2001	0.7
H1	A/BRISBANE/277/2007	0.7
H1	A/BRISBANE/307/2007	0.7
H1	A/BRISBANE/58/2007	0.7
H1	A/BRISBANE/60/2007	0.7
H1	A/BRISBANE/67/2001	0.7
H1	A/BRISBANE/84/2001	0.7
H1	A/PERTH/219/2000	0.7
H1	A/PERTH/234/2001	0.7
H1	A/SYDNEY/258/2007	0.7
H1	A/VICTORIA/303/2001	0.7
H1	A/VICTORIA/566/2005	0.7
H1	A/BRISBANE/32/2007	0.75
H1	A/PERTH/248/2001	0.75
H1	A/PERTH/250/2001	0.75
H1	A/BRISBANE/264/2007	0.8
H1	A/BRISBANE/283/2007	0.8
H1	A/BRISBANE/44/2007	0.8
H1	A/BRISBANE/52/2007	0.8
H1	A/BRISBANE/57/2007	0.8
H1	A/PERTH/233/2001	0.8
H1	A/PERTH/236/2000	0.8
H1	A/PERTH/410/2009	0.8
H1	A/SOUTHAUSTRALIA/151/2005	0.8
H1	A/VICTORIA/356/2005	0.8
H1	A/BRISBANE/109/2001	0.9
H1	A/BRISBANE/122/2001	0.9
H1	A/PERTH/244/2005	0.9
H1	A/PERTH/252/2001	0.9
H1	A/PERTH/254/2001	0.9
